checkpoint_id,cmni,total_mns,total_neurons,activation,batch_size,dropout,epochs,num_layers,num_neurons,learning_rate
checkpoint-20241010-021201-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch52-valLoss0.0452,0.005881602970087609,0.22350091286332913,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021321-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch53-valLoss0.0451,0.005872912210384533,0.22317066399461225,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021442-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch54-valLoss0.0451,0.0056265084778611965,0.21380732215872547,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021604-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch55-valLoss0.0450,0.0058074619461968326,0.22068355395547964,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021725-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch56-valLoss0.0449,0.005688150518518906,0.21614971970371843,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021846-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch57-valLoss0.0448,0.005598821585924183,0.21275522026511895,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022007-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch58-valLoss0.0448,0.005835609510044741,0.22175316138170015,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022127-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch59-valLoss0.0446,0.005947373553935735,0.22600019504955793,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022249-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch60-valLoss0.0445,0.005725745783136475,0.21757833975918606,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022531-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch62-valLoss0.0444,0.005473719890006758,0.2080013558202568,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022652-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch63-valLoss0.0443,0.005603521900000501,0.21293383220001905,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-022936-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch65-valLoss0.0441,0.005733190641486062,0.21786124437647036,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-023220-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch67-valLoss0.0441,0.005649286065886923,0.2146728705037031,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-023504-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch69-valLoss0.0440,0.005560424126582325,0.21129611681012833,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-023625-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch70-valLoss0.0440,0.005377512666111607,0.20434548131224106,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-023750-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch71-valLoss0.0439,0.005522335673818025,0.20984875560508498,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-023914-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch72-valLoss0.0438,0.0053881506551272315,0.20474972489483478,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024035-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch73-valLoss0.0438,0.005642046111271173,0.2143977522283046,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024157-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch74-valLoss0.0436,0.005578788677969268,0.21199396976283216,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024318-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch75-valLoss0.0436,0.0055730144448135404,0.21177454890291453,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024440-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch76-valLoss0.0436,0.005493752712352827,0.20876260306940742,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024602-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch77-valLoss0.0436,0.005429161655890555,0.2063081429238411,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-024728-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch78-valLoss0.0434,0.005324691504942032,0.20233827718779723,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025013-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch80-valLoss0.0433,0.005618888228309406,0.21351775267575743,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025137-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch81-valLoss0.0433,0.005674299357520614,0.21562337558578332,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025300-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch82-valLoss0.0432,0.005190447069999051,0.19723698865996392,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025421-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch83-valLoss0.0431,0.005584309120903812,0.21220374659434485,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025543-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch84-valLoss0.0431,0.005585339770218239,0.2122429112682931,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025828-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch86-valLoss0.0430,0.005479571845427281,0.20822373012623668,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-025949-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch87-valLoss0.0429,0.005388468164199242,0.2047617902395712,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030110-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch88-valLoss0.0429,0.005298098940345915,0.20132775973314476,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030352-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch90-valLoss0.0428,0.005442068134936273,0.20679858912757837,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030516-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch91-valLoss0.0428,0.005211866066889061,0.1980509105417843,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030637-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch92-valLoss0.0427,0.005386951997418027,0.204704175901885,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030801-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch93-valLoss0.0427,0.005348884250648391,0.20325760152463884,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-030921-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch94-valLoss0.0427,0.005354336350923007,0.20346478133507429,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-031045-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch95-valLoss0.0426,0.0054517813923692406,0.20716769291003115,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-031328-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch97-valLoss0.0425,0.005394395935688657,0.20498704555616898,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-031450-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch98-valLoss0.0424,0.005510202047886872,0.20938767781970113,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-031733-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch100-valLoss0.0424,0.005572926927210196,0.21177122323398745,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-031856-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch101-valLoss0.0424,0.005499921403112549,0.20899701331827686,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-032018-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch102-valLoss0.0423,0.00550447909510218,0.20917020561388283,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-032301-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch104-valLoss0.0422,0.005542836917737601,0.21062780287402882,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-032545-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch106-valLoss0.0422,0.005545048334811076,0.2107118367228209,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-032830-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch108-valLoss0.0421,0.005498985594812866,0.2089614526028889,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-032953-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch109-valLoss0.0420,0.005474435952582498,0.20802856619813492,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-033522-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch113-valLoss0.0419,0.005403379609969017,0.20532842517882263,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-033643-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch114-valLoss0.0419,0.005455719659626298,0.20731734706579935,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-034211-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch118-valLoss0.0418,0.005288787584529403,0.2009739282121173,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-034334-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch119-valLoss0.0418,0.005320527507343885,0.20218004527906763,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-034743-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch122-valLoss0.0418,0.005230940910193203,0.1987757545873417,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-035150-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch125-valLoss0.0416,0.0054833633687974325,0.20836780801430244,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-035431-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch127-valLoss0.0416,0.0054163102134599924,0.20581978811147972,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-035552-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch128-valLoss0.0415,0.0054015244148558905,0.20525792776452384,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-035717-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch129-valLoss0.0415,0.005389802952223574,0.2048125121844958,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-035841-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch130-valLoss0.0415,0.005147456220461569,0.19560333637753963,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-040123-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch132-valLoss0.0414,0.00527441847815008,0.20042790216970302,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-040410-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch134-valLoss0.0413,0.005127302312503805,0.1948374878751446,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-040659-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch136-valLoss0.0413,0.005347901603147939,0.20322026091962167,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-040941-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch138-valLoss0.0412,0.005088366897055077,0.19335794208809293,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-041351-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch141-valLoss0.0411,0.004951623295815219,0.18816168524097834,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-041759-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch144-valLoss0.0411,0.005030009752632686,0.19114037060004208,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-042043-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch146-valLoss0.0411,0.004942023752538941,0.18779690259647977,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-042330-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch148-valLoss0.0410,0.004954457751862798,0.18826939457078634,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-042454-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch149-valLoss0.0410,0.0050765861726030865,0.1929102745589173,38,relu,25,0.12,500,2,17,4e-06-e
